"","year","scenario","breed_start","breed_end","precip_start","precip_end","avg_min_temp","precipitation"
"115",2063,2,103,NA,NA,NA,NA,0
"116",2064,2,103,NA,NA,NA,NA,0
"117",2065,2,106,NA,NA,NA,NA,0
"118",2066,2,104,NA,NA,NA,NA,0
"119",2067,2,105,NA,NA,NA,NA,0
"120",2068,2,103,NA,NA,NA,NA,0
"121",2069,2,101,NA,NA,NA,NA,0
"122",2070,2,107,NA,NA,NA,NA,0
"123",2071,2,104,NA,NA,NA,NA,0
"124",2072,2,106,NA,NA,NA,NA,0
"125",2073,2,102,NA,NA,NA,NA,0
"126",2074,2,103,NA,NA,NA,NA,0
"127",2075,2,103,NA,NA,NA,NA,0
"128",2076,2,102,NA,NA,NA,NA,0
"129",2077,2,103,NA,NA,NA,NA,0
"130",2078,2,103,NA,NA,NA,NA,0
"131",2079,2,104,NA,NA,NA,NA,0
"132",2080,2,102,NA,NA,NA,NA,0
"133",2081,2,101,NA,NA,NA,NA,0
"134",2082,2,101,NA,NA,NA,NA,0
"135",2083,2,104,NA,NA,NA,NA,0
"136",2084,2,104,NA,NA,NA,NA,0
"137",2085,2,100,NA,NA,NA,NA,0
"138",2086,2,99,NA,NA,NA,NA,0
"139",2087,2,99,NA,NA,NA,NA,0
"140",2088,2,104,NA,NA,NA,NA,0
"141",2089,2,106,NA,NA,NA,NA,0
"142",2090,2,104,NA,NA,NA,NA,0
"143",2091,2,102,NA,NA,NA,NA,0
"144",2092,2,102,NA,NA,NA,NA,0
"145",2093,2,103,NA,NA,NA,NA,0
"146",2094,2,104,NA,NA,NA,NA,0
"147",2095,2,102,NA,NA,NA,NA,0
"148",2096,2,100,NA,NA,NA,NA,0
"149",2097,2,101,NA,NA,NA,NA,0
"150",2098,2,99,NA,NA,NA,NA,0
"151",2099,2,102,NA,NA,NA,NA,0
"152",2100,2,103,NA,NA,NA,NA,0
"153",2025,3,109,NA,NA,NA,NA,0
"154",2026,3,111,NA,NA,NA,NA,0
"155",2027,3,112,NA,NA,NA,NA,0
"156",2028,3,108,NA,NA,NA,NA,0
"157",2029,3,109,NA,NA,NA,NA,0
"158",2030,3,111,NA,NA,NA,NA,0
"159",2031,3,108,NA,NA,NA,NA,0
"160",2032,3,108,NA,NA,NA,NA,0
"161",2033,3,108,NA,NA,NA,NA,0
"162",2034,3,107,NA,NA,NA,NA,0
"163",2035,3,108,NA,NA,NA,NA,0
"164",2036,3,105,NA,NA,NA,NA,0
"165",2037,3,106,NA,NA,NA,NA,0
"166",2038,3,106,NA,NA,NA,NA,0
"167",2039,3,106,NA,NA,NA,NA,0
"168",2040,3,107,NA,NA,NA,NA,0
"169",2041,3,107,NA,NA,NA,NA,0
"170",2042,3,108,NA,NA,NA,NA,0
"171",2043,3,105,NA,NA,NA,NA,0
"172",2044,3,105,NA,NA,NA,NA,0
"173",2045,3,104,NA,NA,NA,NA,0
"174",2046,3,105,NA,NA,NA,NA,0
"175",2047,3,106,NA,NA,NA,NA,0
"176",2048,3,104,NA,NA,NA,NA,0
"177",2049,3,105,NA,NA,NA,NA,0
"178",2050,3,105,NA,NA,NA,NA,0
"179",2051,3,106,NA,NA,NA,NA,0
"180",2052,3,106,NA,NA,NA,NA,0
"181",2053,3,104,NA,NA,NA,NA,0
"182",2054,3,103,NA,NA,NA,NA,0
"183",2055,3,102,NA,NA,NA,NA,0
"184",2056,3,102,NA,NA,NA,NA,0
"185",2057,3,102,NA,NA,NA,NA,0
"186",2058,3,103,NA,NA,NA,NA,0
"187",2059,3,102,NA,NA,NA,NA,0
"188",2060,3,102,NA,NA,NA,NA,0
"189",2061,3,101,NA,NA,NA,NA,0
"190",2062,3,102,NA,NA,NA,NA,0
"191",2063,3,101,NA,NA,NA,NA,0
"192",2064,3,100,NA,NA,NA,NA,0
"193",2065,3,102,NA,NA,NA,NA,0
"194",2066,3,100,NA,NA,NA,NA,0
"195",2067,3,98,NA,NA,NA,NA,0
"196",2068,3,100,NA,NA,NA,NA,0
"197",2069,3,99,NA,NA,NA,NA,0
"198",2070,3,99,NA,NA,NA,NA,0
"199",2071,3,100,NA,NA,NA,NA,0
"200",2072,3,99,NA,NA,NA,NA,0
"201",2073,3,98,NA,NA,NA,NA,0
"202",2074,3,100,NA,NA,NA,NA,0
"203",2075,3,98,NA,NA,NA,NA,0
"204",2076,3,95,NA,NA,NA,NA,0
"205",2077,3,98,NA,NA,NA,NA,0
"206",2078,3,97,NA,NA,NA,NA,0
"207",2079,3,98,NA,NA,NA,NA,0
"208",2080,3,94,NA,NA,NA,NA,0
"209",2081,3,94,NA,NA,NA,NA,0
"210",2082,3,96,NA,NA,NA,NA,0
"211",2083,3,95,NA,NA,NA,NA,0
"212",2084,3,97,NA,NA,NA,NA,0
"213",2085,3,97,NA,NA,NA,NA,0
"214",2086,3,95,NA,NA,NA,NA,0
"215",2087,3,95,NA,NA,NA,NA,0
"216",2088,3,95,NA,NA,NA,NA,0
"217",2089,3,95,NA,NA,NA,NA,0
"218",2090,3,97,NA,NA,NA,NA,0
"219",2091,3,94,NA,NA,NA,NA,0
"220",2092,3,91,NA,NA,NA,NA,0
"221",2093,3,93,NA,NA,NA,NA,0
"222",2094,3,93,NA,NA,NA,NA,0
"223",2095,3,95,NA,NA,NA,NA,0
"224",2096,3,93,NA,NA,NA,NA,0
"225",2097,3,93,NA,NA,NA,NA,0
"226",2098,3,94,NA,NA,NA,NA,0
"227",2099,3,93,NA,NA,NA,NA,0
"228",2100,3,91,NA,NA,NA,NA,0
