year,scenario,iceOut,eggMass,temperatureIndex,precipitationIndex,survivorship,meanAprilTemp,tempStart,tempEnd,precipStart,precipEnd
2027,SSP126,116,138,1.7883918525741058,0.34080188694393854,0.721671941811441,3.0869877155431333,116,138,128,148
2028,SSP126,113,135,1.0268280478627883,0.2787192981225731,0.7300280504844505,4.0853345307431335,113,135,125,145
2029,SSP126,110,132,0.9437960662027814,0.2435755255353865,0.7057109751130477,5.049806321543134,110,132,122,142
2030,SSP126,109,131,0.4861732343293,0.25232589806215966,0.7506870245373328,5.163842064343133,109,131,121,141
2031,SSP126,111,133,0.6328950385980023,0.3841684011941531,0.8349378577352968,4.744931101943133,111,133,123,143
2032,SSP126,116,138,1.8706729544397547,0.4121802644658253,0.7742458410418529,3.056266221943133,116,138,128,148
2033,SSP126,114,136,1.2101715001314906,0.3581676460548081,0.7804213798164095,3.5267526719431332,114,136,126,146
2034,SSP126,115,137,1.6959240036571461,0.2611236980822957,0.6549418309244724,3.3870817755431335,115,137,127,147
2035,SSP126,109,131,0.5840963365901697,0.15820603746934467,0.656597618767804,5.340439789143133,109,131,121,141
2036,SSP126,110,132,0.6747216466771262,0.3180151321747921,0.7880179783416672,5.0976179175431335,110,132,122,142
2037,SSP126,109,131,0.41359337398147417,0.2363902602898274,0.7431206068515648,5.146446781543133,109,131,121,141
2038,SSP126,114,136,1.8084577712619254,0.30579177365624793,0.6879634705241513,3.5909422827431334,114,136,126,146
2039,SSP126,113,135,0.74591431173627,0.23859563873153608,0.7179999833056991,3.8685547199431336,113,135,125,145
