Year,T.INB,P.OUT
,,
2008,-1.846666667,0.269387755
,,
2009,0.583333333,0.316402116
,,
2010,-0.617857143,0.374829932
,,
2011,3.113636364,0.24021164
,,
2012,-0.279166667,0.264285714
,,
2013,3.928571429,0.132879819
,,
2014,1.952631579,0.456190476
,,
2015,3.00625,0.157142857
,,
2016,-1.042857143,0.319047619
,,
2017,1.480952381,0.367619048
,,
2018,2.677272727,0.361111111
,,
2019,2.073333333,0.152380952
,,
2020,-1.6,0.121768707
,,
2021,-0.38,0.265187345
,,
2022,1.25,0.179365079
